Product_ID,Product_Name,Category,Price (INR),Occasion
1,Magnam Set,Soft Toys,1935,All Occasions
2,Voluptas Box,Plants,441,Valentine's Day
3,Eius Gift,Colors,1534,Valentine's Day
4,Accusantium Set,Sweets,1199,Diwali
5,Natus Gift,Colors,1444,All Occasions
6,Quos Box,Cake,1112,Holi
7,Quos Set,Soft Toys,409,Holi
8,Qui Box,Sweets,252,Anniversary
9,Aperiam Box,Colors,1605,Raksha Bandhan
10,Accusantium Gift,Cake,259,Birthday
11,Maxime Set,Mugs,1096,Valentine's Day
12,Non Set,Plants,672,Anniversary
13,Et Set,Mugs,1141,Holi
14,Deserunt Box,Colors,1915,Birthday
15,Repudiandae Box,Raksha Bandhan,1488,Anniversary
16,Ut Pack,Sweets,1721,Holi
17,Delectus Gift,Soft Toys,1899,Anniversary
18,Nemo Set,Plants,781,Birthday
19,Iure Gift,Mugs,1234,Valentine's Day
20,Reiciendis Box,Colors,697,Anniversary
21,Quia Gift,Colors,1561,Raksha Bandhan
22,Exercitationem Pack,Soft Toys,1639,All Occasions
23,Dignissimos Pack,Sweets,1098,Anniversary
24,Ad Box,Mugs,535,Birthday
25,Qui Gift,Plants,1202,Anniversary
26,Aliquam Box,Colors,289,Holi
27,Architecto Gift,Cake,548,Raksha Bandhan
28,Velit Set,Sweets,1778,Raksha Bandhan
29,In Set,Colors,1252,Holi
30,Recusandae Pack,Colors,751,Anniversary
31,Nihil Box,Colors,1804,All Occasions
32,Fuga Set,Soft Toys,1792,Birthday
33,Earum Set,Colors,314,Valentine's Day
34,Placeat Pack,Soft Toys,1335,Raksha Bandhan
35,Nam Gift,Colors,1865,Holi
36,Cum Gift,Plants,203,Birthday
37,Officiis Pack,Colors,1428,Diwali
38,Mollitia Set,Cake,562,Birthday
39,Voluptate Set,Mugs,387,All Occasions
40,Provident Pack,Sweets,1923,Anniversary
41,Aut Box,Sweets,1977,Diwali
42,Expedita Gift,Sweets,1744,All Occasions
43,Quisquam Pack,Raksha Bandhan,750,Diwali
44,Dolorum Set,Plants,794,Diwali
45,Iusto Set,Raksha Bandhan,722,Birthday
46,Pariatur Set,Cake,758,Anniversary
47,Harum Pack,Colors,1638,Holi
48,Maiores Gift,Colors,433,Diwali
49,Voluptate Pack,Colors,903,Valentine's Day
50,Eligendi Set,Plants,422,Holi
51,Fugit Set,Soft Toys,1084,All Occasions
52,Dolorum Box,Raksha Bandhan,236,Valentine's Day
53,Ipsam Set,Sweets,1672,Raksha Bandhan
54,Occaecati Gift,Cake,1236,Anniversary
55,Dolores Gift,Soft Toys,1904,Raksha Bandhan
56,Quia Gift,Raksha Bandhan,1272,Anniversary
57,Voluptatem Box,Colors,1582,Birthday
58,Sed Pack,Cake,1492,Valentine's Day
59,Pariatur Box,Cake,811,Raksha Bandhan
60,Ea Set,Sweets,827,Diwali
61,Iusto Box,Plants,810,Anniversary
62,Sed Set,Colors,1356,Holi
63,Adipisci Set,Sweets,1348,All Occasions
64,Nostrum Box,Soft Toys,1878,Raksha Bandhan
65,Error Gift,Raksha Bandhan,1895,All Occasions
66,Quas Box,Colors,610,Holi
67,Maiores Box,Raksha Bandhan,1374,Anniversary
68,Quas Gift,Soft Toys,597,Valentine's Day
69,Id Box,Cake,998,Holi
70,Error Gift,Sweets,866,Birthday
